地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数
青海,2011,304.0,7.033,1370.4,21.38032,282.61968
宁夏,2011,347.0,6.038,1931.8,20.95186,326.04814
新疆,2011,1235.0,5.072,6532.0,62.6392,1172.3608
北京,2012,1115.3,34.315,19024.7,382.71519499999994,732.584805
天津,2012,693.0,14.055,9043.0,97.40115,595.59885
河北,2012,4063.0,4.402,23077.5,178.85326,3884.14674
山西,2012,1834.0,5.461,11683.1,100.15474,1733.84526
内蒙古,2012,1379.0,5.612,10470.1,77.38948,1301.61052
辽宁,2012,2423.82,5.516,17848.6,133.69791120000002,2290.1220888000003
吉林,2012,1489.99,6.217,8678.0,92.6326783,1397.3573217
黑龙江,2012,2039.0,3.356,11015.8,68.42884,1970.57116
上海,2012,1115.5,17.751,21305.6,198.012405,917.487595
江苏,2012,4770.54,6.22,53701.9,296.72758799999997,4473.812412
浙江,2012,3407.0,8.248,34382.4,281.00935999999996,3125.99064
安徽,2012,4206.8,4.017,18341.7,168.98715600000003,4037.812844
福建,2012,2202.0,7.234,20190.7,159.29268,2042.70732
江西,2012,2364.0,2.984,12807.7,70.54176000000001,2293.45824
山东,2012,5892.0,5.663,42957.3,333.66396000000003,5558.33604
河南,2012,5110.0,3.141,28961.9,160.5051,4949.4949
湖北,2012,3398.0,5.463,22590.9,185.63274,3212.36726
湖南,2012,4019.31,5.205,21207.2,209.2050855,3810.1049144999997
广东,2012,6171.0,4.395,57007.7,271.21545,5899.78455
广西,2012,2768.3,2.914,11303.6,80.66826200000001,2687.631738
海南,2012,475.9,5.534,2789.4,26.336306,449.563694
重庆,2012,1605.89,5.239,11595.4,84.13257709999999,1521.7574229000002
四川,2012,4635.0,3.832,23922.4,177.6132,4457.3868
贵州,2012,1780.0,2.951,6742.2,52.5278,1727.4722
云南,2012,2835.0,3.588,11097.4,101.71979999999999,2733.2802
西藏,2012,174.0,3.422,710.2,5.95428,168.04572
陕西,2012,2091.0,6.798,14142.4,142.14618000000002,1948.85382
甘肃,2012,1358.0,4.749,5393.1,64.49142,1293.50858
青海,2012,299.0,6.769,1528.5,20.23931,278.76069
宁夏,2012,344.47,5.436,2131.0,18.725389200000002,325.74461080000003
新疆,2012,1246.0,5.893,7411.8,73.42678,1172.57322
北京,2013,1137.2,33.117,21134.6,376.606524,760.593476
天津,2013,711.0,16.522,9945.4,117.47141999999998,593.52858
河北,2013,4032.0,4.203,24259.6,169.46496000000002,3862.5350399999998
山西,2013,1855.0,5.606,11987.2,103.9913,1751.0087
内蒙古,2013,1370.0,6.42,11392.4,87.954,1282.046
辽宁,2013,2518.88,6.276,19208.8,158.0849088,2360.7950912
